Survey_ID,Lat,Long,Zip,City,County,Status,elevation,dist_to_spill,Q37_EDU,Q40_INCOME,Q1_Overall,Q2_a,Q2_b,Q2_c,Q2_d,Q2_e,Q2_f,Q2_g,Q2_h,Q2_i,Q2_j,Q2_k,Q3,Q4,Q10_a,Q10_b,Q10_c,Q10_d,Q10_e,Q11_a,Q11_b,Q11_c,Q11_d,Q11_e,Q11_f,Q11_g,Q11_h,Q11_i,Q11_j,Q11_k,Q12_a,Q12_b,Q12_c,Q12_d,Q12_e,Q13_a,Q13_b,Q13_c,Q13_d,Q13_e,Q13_f,Q13_g,Q14_a,Q14_b,Q14_c,Q14_d,Q14_e,Q14_f,Q14_g,Q14_h,Q14_i,Q15_a,Q15_b,Q15_c,Q16_a,Q16_b,Q16_c,Q16_d,Q16_e,Q16_f,Q16_g,Q16_h,Q16_i,Q16_j,Q16_k,Q16_l,Q16_m,Q16_n,Q16_o,Q16_p,Q17_a,Q17_b,Q17_c,Q17_d,Q17_e,Q17_f,Q17_g,Q17_h,Q17_i,Q17_j,Q17_k,Q19_a,Q19_b,Q19_c,Q19_d,Q19_e,Q19_f,Q19_g,Q19_h,Q19_i,Q20_a,Q20_b,Q20_c,Q20_d,Q20_e,Q21,Q22_a,Q22_b,Q22_c,Q22_d,Q22_e,Q22_f,Q23,Q24,Q25,Q26_a,Q26_b,Q26_c,Q26_d,Q26_e,Q26_f,Q26_g,Q26_h
386,37.81640625000,-81.23290252690,25813,Beaver,Raleigh,At_Risk,675,69537.1,6,3,3,4,1,2,4,4,1,5,2,1,4,5,3,3,5,1,2,2,2,2,2,1,3,3,4,3,1,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,5,3,5,5,3,5,5,5,3,2,2,2,4,3,1,1,5,5,3,4,1,2,2,1,4,3,3,3,4,4,3,4,4,3,3,5,,,0,4,4,3,4,4,4,3,3,4,4,1,4,1,5,2,3,2,1,1,1,1,5,2,4,3,5,5,5,4,4,4,5
387,37.81640625000,-81.23290252690,25813,Beaver,Raleigh,At_Risk,675,69537.1,6,2,3,4,4,3,2,2,2,5,2,2,4,5,4,4,5,1,1,4,2,2,2,4,4,4,4,2,2,4,4,4,4,2,2,2,4,4,4,2,4,4,2,2,2,2,4,3,3,4,2,4,2,2,2,2,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,4,4,2,2,2,2,2,4,,,0,3,2,2,2,2,2,4,4,4,2,4,4,4,5,2,4,4,4,4,2,2,4,4,4,4,4,4,4,2,4,4,2
388,37.74806100000,-81.14310300000,25813,Beaver,Raleigh,At_Risk,656,80018.3,7,5,4,3,2,4,1,1,3,3,4,1,1,5,5,3,2,2,2,4,1,2,5,3,2,5,2,4,4,5,2,2,1,4,4,1,1,5,5,3,2,3,5,1,1,2,4,2,1,3,1,4,1,2,2,2,3,2,1,3,4,5,3,5,1,5,2,2,4,0,4,2,1,1,4,3,1,1,1,1,1,3,5,1,4,3,5,2,1,4,4,4,4,4,4,4,1,1,4,5,5,5,3,3,3,3,2,1,1,1,1,1,1,1,1
389,37.74995000000,-81.14070000000,25813,Beaver,Raleigh,At_Risk,661,79945.3,4,4,4,2,2,4,2,2,3,4,3,2,3,3,4,2,2,5,3,3,4,1,1,3,4,4,4,2,1,5,5,4,2,3,3,2,2,5,5,3,3,2,3,2,2,2,4,3,1,4,2,2,1,2,2,2,4,2,4,2,2,4,2,3,3,3,4,2,4,2,4,3,4,3,3,3,4,3,1,3,,,0,3,2,2,3,3,3,3,4,3,2,4,2,3,3,1,3,3,5,3,5,5,1,1,1,0,0,0,0,0,0,0,0
390,37.76233500000,-81.41232700000,25817,Bolt,Raleigh,At_Risk,611,69443.8,3,2,4,3,3,4,3,3,2,4,4,2,3,4,4,3,2,3,2,5,5,4,5,2,2,3,2,4,4,3,1,2,3,4,4,3,3,5,4,3,3,4,3,3,4,3,3,3,3,3,4,3,3,2,2,2,5,5,4,2,3,4,3,4,3,2,4,3,3,2,3,4,2,3,3,3,4,4,3,4,3,3,3,3,4,3,4,3,3,3,4,4,2,4,2,3,3,3,5,4,5,5,5,4,3,3,3,3,4,4,4,3,4,4,3
391,37.29420471190,-81.18319702150,25820,Camp Creek,Mercer,At_Risk,785,124943.2,3,2,4,3,0,3,0,3,0,5,3,3,4,4,5,5,4,0,1,5,4,3,3,3,3,5,3,3,4,3,1,1,1,4,3,3,3,5,4,1,1,4,4,1,5,5,5,4,5,5,5,5,5,2,2,2,5,5,3,3,3,5,3,5,4,3,3,4,3,3,3,3,0,4,3,3,3,4,1,3,,,0,3,3,3,4,4,4,4,4,4,3,3,4,4,4,1,3,5,3,5,0,5,5,1,1,0,0,0,0,0,0,0,0
392,37.68030900000,-81.21276300000,25823,Coal City,Raleigh,At_Risk,782,83881.8,1,1,3,3,1,1,3,3,3,0,3,1,3,5,3,3,2,1,2,4,4,3,3,3,3,5,5,0,5,0,3,3,3,3,3,3,3,5,5,5,1,1,1,1,3,1,3,3,1,5,3,3,1,2,2,2,5,5,1,1,0,5,5,3,5,3,5,1,3,0,1,3,5,5,3,3,3,3,3,3,3,5,5,3,5,3,5,3,3,3,3,3,1,3,3,1,5,3,3,3,3,3,3,3,5,4,4,3,3,3,3,3,3,3,3
393,37.81640625000,-81.23290252690,25823,Coal City,Raleigh,At_Risk,675,69537.1,0,0,3,4,3,3,3,4,2,3,2,3,3,3,4,4,2,2,1,4,3,4,4,2,2,4,2,4,4,2,2,2,4,4,4,4,4,4,3,2,2,4,4,3,3,4,4,4,3,3,4,4,4,0,0,0,3,3,4,2,3,4,3,4,4,3,4,3,3,4,3,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,37.67948900000,-81.20958700000,25823,Coal City,Raleigh,At_Risk,796,84080.0,3,1,4,3,5,4,5,3,5,4,3,4,4,5,2,2,5,1,3,5,5,5,5,3,4,5,5,4,1,5,5,5,5,4,5,4,5,5,5,5,4,2,1,1,5,5,5,5,2,2,4,5,5,2,1,2,4,5,3,3,2,5,5,5,4,5,4,1,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,3,1,3,4,5,4,5,4,5,4,2,5,4,4,5,4,5,5,4,0,5,4,5,3,4,5,4,5
395,37.81640625000,-81.23290252690,25825,Cool Ridge,Raleigh,At_Risk,675,69537.1,4,5,3,4,2,2,5,4,4,1,2,3,4,2,5,3,2,5,1,4,2,4,5,2,3,4,3,2,3,4,2,3,4,4,5,1,5,1,1,2,2,2,3,5,4,2,5,4,3,5,3,2,2,2,2,2,5,2,4,3,3,4,2,4,4,3,4,4,4,2,5,5,2,1,1,1,1,1,1,5,,,0,1,3,1,1,3,1,1,1,4,4,2,4,4,4,1,5,2,3,4,3,3,4,2,4,0,0,0,0,0,0,0,0
396,37.97610473630,-81.13970184330,25825,Cool Ridge,Raleigh,At_Risk,595,59800.2,5,5,3,4,1,2,4,4,1,4,1,4,4,4,4,3,4,2,2,3,4,4,4,1,2,4,2,4,4,4,2,4,4,4,5,4,5,4,4,2,2,4,4,2,4,4,4,4,3,4,3,4,3,2,2,1,3,3,4,1,3,2,3,4,3,2,4,3,4,2,4,3,2,2,2,2,2,2,2,3,,,0,2,2,2,4,3,2,3,4,3,3,3,4,2,4,2,5,4,3,4,3,4,2,4,3,4,4,4,4,3,3,2,4
397,37.74188500000,-81.23159100000,25827,Crab Orchard,Raleigh,At_Risk,703,76982.2,4,0,2,4,1,2,3,3,1,5,2,3,4,5,4,3,1,1,2,5,4,4,4,3,2,4,4,3,4,4,2,4,4,4,4,3,5,3,3,2,2,3,4,1,5,4,4,5,3,5,3,4,1,2,3,3,3,4,2,1,1,5,3,4,4,3,3,2,5,0,4,3,3,3,3,3,3,3,2,2,1,2,4,3,4,3,5,3,4,4,4,4,4,3,4,1,4,2,3,3,3,3,2,2,4,5,5,4,4,5,5,4,4,4,4
398,37.81640625000,-81.23290252690,25827,Crab Orchard,Raleigh,At_Risk,675,69537.1,6,3,3,3,2,4,2,3,2,4,3,2,3,4,3,3,3,3,2,4,4,4,4,2,2,3,2,4,4,4,2,2,3,3,2,3,3,5,5,2,3,3,3,1,3,3,3,4,3,4,3,3,3,2,2,2,3,3,4,2,2,3,2,3,3,4,4,3,4,3,4,4,2,2,2,2,2,2,2,3,,,0,2,3,3,4,4,3,4,4,4,3,4,3,3,4,2,4,4,3,3,3,3,4,3,4,2,2,2,3,2,2,2,3
399,37.81640625000,-81.23290252690,25827,Crab Orchard,Raleigh,At_Risk,675,69537.1,3,3,3,4,2,4,4,3,2,3,1,3,4,3,3,1,1,5,2,2,2,2,2,2,3,4,4,3,2,4,4,4,4,3,4,1,4,4,4,2,2,4,3,2,2,2,4,4,2,4,3,4,2,1,1,1,4,2,4,2,2,4,2,4,2,3,4,4,4,2,4,4,4,3,2,3,4,0,2,4,,,0,3,4,2,4,4,4,4,4,4,2,4,2,3,4,1,4,4,4,4,3,3,3,3,3,0,0,0,0,0,0,0,0
400,37.74176000000,-81.22855000000,25827,Crab Orchard,Raleigh,At_Risk,701,77109.3,4,4,4,4,2,4,2,2,2,5,3,1,3,4,5,4,5,1,4,5,3,3,3,2,3,3,4,2,2,4,4,4,2,2,2,2,2,1,1,2,3,4,4,5,4,4,5,3,3,4,4,4,3,0,2,0,3,3,3,3,4,5,3,4,2,4,2,3,4,3,4,3,4,2,1,1,1,1,1,0,,,0,1,2,3,3,4,2,2,1,2,4,3,4,2,3,3,4,4,3,4,3,3,3,4,3,3,2,4,3,1,1,4,4
401,37.86520385740,-81.19680023190,25827,Crab Orchard,Raleigh,At_Risk,722,66465.9,6,6,4,2,3,4,3,2,3,3,3,2,3,3,2,2,1,3,1,5,2,3,5,2,4,4,3,2,3,4,1,4,1,1,1,1,1,4,4,3,3,2,3,3,2,2,5,4,2,5,3,5,2,2,2,2,3,1,5,1,1,2,1,2,2,2,4,3,4,1,5,3,3,3,3,3,3,2,2,4,,,0,2,4,3,4,4,3,4,4,4,2,4,3,4,3,2,4,4,4,3,2,2,2,1,5,2,2,2,2,2,2,2,2
402,37.93060000000,-80.90298000000,25831,Danese,Fayette,Distressed,802,78559.7,4,1,4,4,1,3,4,4,2,3,2,3,4,3,2,2,5,3,3,2,2,4,3,2,3,3,2,2,2,4,4,4,2,2,2,2,4,4,4,4,3,3,4,3,4,3,4,4,3,4,3,4,3,1,1,1,4,4,2,2,4,2,2,4,4,4,3,4,4,2,4,3,3,3,3,3,3,3,3,4,,,0,2,4,2,4,4,3,4,4,4,4,4,3,3,3,2,3,4,3,2,1,1,3,3,4,4,4,3,4,3,3,3,3
403,37.81640625000,-81.23290252690,25832,Daniels,Raleigh,At_Risk,675,69537.1,6,6,2,4,2,2,3,4,4,3,2,4,4,3,4,3,1,5,1,3,1,5,5,4,2,3,2,4,4,3,2,3,3,4,4,2,5,4,4,1,2,4,5,4,4,4,3,3,4,4,3,4,3,2,0,0,4,4,5,1,2,5,3,5,2,3,5,4,5,3,4,5,2,3,3,3,3,3,2,4,,,0,3,4,2,3,2,3,4,4,4,3,2,3,2,2,3,4,3,3,3,3,3,3,4,3,3,4,3,4,4,2,4,4
404,37.81640625000,-81.23290252690,25832,Daniels,Raleigh,At_Risk,675,69537.1,6,3,2,4,4,2,3,4,2,4,3,2,3,4,3,2,1,5,2,4,2,4,4,3,2,4,3,3,4,4,3,4,5,5,4,3,3,2,3,2,2,4,4,5,3,4,4,4,3,4,4,4,3,2,0,0,4,3,5,3,4,4,3,4,2,4,4,4,4,3,2,4,1,3,2,3,1,2,2,4,,,0,2,3,2,2,2,2,3,3,3,3,4,3,3,1,1,5,4,3,4,3,3,2,2,3,0,0,0,0,0,0,0,0
405,37.81640625000,-81.23290252690,25832,Daniels,Raleigh,At_Risk,675,69537.1,4,4,3,5,1,3,5,4,1,4,3,3,3,3,4,3,1,5,1,5,3,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,2,4,3,4,3,2,2,2,3,4,4,2,4,4,0,3,4,4,3,2,4,4,2,4,3,1,1,1,1,1,1,3,,,0,2,2,1,3,2,1,1,1,1,3,4,3,4,2,1,4,4,4,4,4,4,3,1,1,0,0,0,0,0,0,0,0
406,37.78361500000,-81.26462200000,25836,Eccles,Raleigh,At_Risk,663,71556.9,6,2,3,3,3,2,0,2,3,4,3,2,3,5,4,3,2,4,2,3,3,4,4,4,3,5,2,3,3,4,2,2,4,2,4,2,1,2,4,3,2,1,3,4,4,5,5,5,3,5,3,5,3,1,3,3,4,2,4,2,2,4,2,3,4,2,3,3,4,2,4,3,2,3,3,4,3,3,3,3,3,4,5,3,3,2,3,3,2,3,3,2,4,2,4,1,5,2,4,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4
407,37.81640625000,-81.23290252690,25836,Eccles,Raleigh,At_Risk,675,69537.1,3,3,3,3,2,3,3,3,2,1,2,3,4,2,5,3,1,1,1,5,4,5,5,1,2,4,2,4,4,2,1,1,4,4,4,1,4,4,2,2,2,4,4,2,4,4,4,4,3,4,4,4,3,2,2,0,4,4,3,2,3,5,3,5,3,3,4,4,4,4,3,4,2,2,2,2,3,2,2,3,,,0,3,2,2,2,3,2,3,2,2,4,2,4,3,4,1,4,4,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
408,38.06238000000,-81.02736000000,25837,Edmond,Fayette,Distressed,630,61094.9,6,3,4,4,2,3,3,3,2,4,3,3,4,3,5,3,2,3,2,5,4,3,3,2,3,4,3,3,3,4,4,4,3,3,3,3,4,3,4,2,3,3,4,3,4,4,4,5,3,5,3,4,3,2,2,2,3,3,4,2,4,5,2,4,2,3,4,4,4,2,4,4,2,2,2,3,2,2,1,3,,,0,2,4,2,3,2,2,3,3,3,4,2,4,3,2,3,3,3,3,3,3,3,2,4,3,4,4,4,4,4,3,4,4
409,38.05243800000,-81.12006500000,25840,Fayetteville,Fayette,Distressed,586,55238.6,4,1,1,5,1,1,5,5,1,3,1,3,5,3,4,4,2,2,1,5,5,5,5,2,2,5,2,2,2,2,2,2,5,5,5,5,5,5,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,1,3,3,1,1,1,1,5,5,2,2,5,5,1,1,5,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,5,1,1,1,3,3,5,3,5,1,5,1,1,1,1,1,5,5,3,1,1,1,1,1,1,1,1,1,1
410,38.27029418950,-81.89839935300,25840,Fayetteville,Fayette,Distressed,269,27722.1,6,3,1,5,1,1,4,4,1,4,1,3,5,5,5,4,2,2,1,4,1,4,4,2,2,2,2,4,4,3,3,3,3,4,5,1,5,1,5,1,1,5,5,5,5,5,5,4,5,5,4,5,4,0,1,1,2,2,5,1,1,5,1,5,2,2,3,3,4,3,4,3,2,3,1,3,3,3,3,4,,,0,1,3,2,2,1,2,3,4,3,5,2,4,2,5,2,2,2,1,1,1,1,4,5,5,5,5,5,5,5,4,5,5
411,37.81640625000,-81.23290252690,25840,Fayetteville,Fayette,Distressed,675,69537.1,5,3,2,4,2,2,4,3,1,4,2,3,4,4,5,3,5,1,1,3,2,4,5,3,3,5,1,4,5,1,1,3,4,5,5,4,4,5,5,3,2,5,3,2,5,5,4,5,3,5,3,4,3,0,2,0,3,4,4,1,5,5,4,5,3,3,4,4,4,4,3,4,3,3,3,3,3,3,1,4,,,0,3,4,2,3,3,2,4,4,4,4,4,3,3,4,2,4,5,4,4,3,3,3,4,3,2,4,4,4,4,3,2,4
412,38.06095300000,-81.10790100000,25840,Fayetteville,Fayette,Distressed,518,55475.6,2,7,2,2,2,3,2,2,2,0,2,4,3,2,3,2,1,1,1,1,1,3,3,1,3,3,1,3,4,1,1,1,5,5,5,5,5,3,1,1,2,1,1,1,5,1,5,1,4,5,2,5,1,2,2,1,5,3,5,1,5,5,1,5,5,5,5,5,1,5,1,5,5,3,3,1,5,4,4,5,5,5,5,1,5,3,1,5,5,4,3,2,1,4,5,5,5,2,5,3,3,4,1,1,5,4,5,4,4,3,5,5,5,5,5
413,37.81640625000,-81.23290252690,25840,Fayetteville,Fayette,Distressed,675,69537.1,6,3,3,2,3,2,3,2,2,4,2,3,4,4,4,2,2,3,3,4,4,4,4,2,2,2,2,4,4,1,2,2,4,4,5,4,5,3,2,2,1,4,4,4,4,4,4,4,4,5,4,4,4,1,1,1,4,2,4,2,2,4,2,4,2,3,4,4,2,4,3,4,2,2,2,4,4,4,4,5,,,0,3,3,1,3,4,3,2,3,3,4,2,4,1,4,2,1,1,1,1,1,1,5,5,5,4,4,5,5,4,3,5,5
414,38.04635500000,-81.09331600000,25840,Fayetteville,Fayette,Distressed,587,57484.8,2,7,3,1,5,4,1,2,3,5,4,1,2,5,5,5,3,1,1,4,5,3,2,5,5,3,4,2,2,4,3,2,3,2,2,2,3,4,4,3,3,2,3,2,4,4,4,3,1,4,1,3,1,2,2,2,1,2,2,1,3,1,2,2,5,4,3,1,4,3,4,3,3,1,1,3,2,3,1,1,1,3,5,3,4,2,1,3,3,2,4,2,4,2,4,1,5,0,3,2,2,2,2,1,4,4,4,4,4,4,3,3,4,4,5
415,38.04879760740,-81.14620208740,25840,Fayetteville,Fayette,Distressed,643,53759.1,6,1,3,5,1,1,5,4,1,2,1,5,5,4,3,4,1,1,1,5,5,5,5,1,1,5,1,5,5,3,1,3,1,5,5,3,1,5,3,3,3,3,3,3,4,3,3,3,3,5,2,5,3,1,1,1,4,3,5,2,3,4,3,4,4,3,5,4,1,5,1,5,3,3,3,3,2,2,1,3,,,0,3,4,3,4,3,3,3,3,4,1,4,3,3,3,1,5,5,4,5,4,4,3,3,3,0,0,0,0,0,0,0,0
416,38.05338000000,-81.10140000000,25840,Fayetteville,Fayette,Distressed,562,56444.2,4,7,3,4,2,4,2,1,2,4,3,2,4,4,4,3,2,1,3,5,3,5,5,2,2,4,1,4,5,4,1,3,1,1,5,1,4,5,2,3,2,5,4,1,4,4,4,5,3,4,4,4,3,2,0,0,1,2,4,1,1,5,2,3,2,2,4,4,4,2,4,4,2,4,1,1,1,1,1,5,,,0,2,4,2,3,4,3,4,4,3,4,4,1,5,1,2,5,5,5,3,2,1,5,1,1,4,4,3,4,4,1,1,4
417,38.05446500000,-81.10103700000,25840,Fayetteville,Fayette,Distressed,572,56394.3,6,1,3,3,3,3,1,2,1,5,1,2,5,5,4,4,4,3,3,4,1,3,3,3,3,5,3,1,2,5,3,3,5,5,5,5,5,3,2,1,1,5,5,1,5,5,4,3,4,5,3,4,3,3,2,3,1,1,5,1,5,5,1,5,1,3,4,3,4,0,4,4,3,3,3,3,3,3,2,2,2,2,4,2,4,4,5,5,3,5,5,3,5,2,0,1,5,2,1,1,1,1,1,1,5,5,4,4,4,5,4,3,3,4,3
418,38.05338000000,-81.10140000000,25840,Fayetteville,Fayette,Distressed,562,56444.2,7,5,4,4,2,2,3,3,1,5,2,2,2,5,4,3,1,1,3,5,2,4,4,2,2,5,2,4,4,4,3,4,4,4,4,1,2,4,2,2,3,4,3,3,5,4,5,4,4,5,3,5,3,1,1,1,4,3,2,2,4,5,3,4,1,4,3,4,4,2,4,2,2,2,1,4,1,1,4,4,,,0,1,4,1,4,4,1,4,4,4,4,2,5,1,5,2,2,1,1,1,1,1,4,5,5,2,2,5,4,2,1,4,3
419,38.05338000000,-81.10140000000,25840,Fayetteville,Fayette,Distressed,562,56444.2,6,6,4,2,1,2,3,2,1,5,1,1,1,4,4,4,3,3,3,5,2,3,4,1,2,5,3,2,2,5,3,3,2,4,4,1,5,5,3,4,1,4,2,1,4,4,4,4,3,4,3,4,3,2,2,1,4,2,4,2,3,2,2,4,2,2,4,4,4,2,4,4,2,1,2,2,1,1,1,4,,,0,3,4,3,4,3,3,3,4,4,3,2,2,3,3,2,5,4,4,4,3,1,2,1,1,2,2,2,3,2,2,2,1
420,38.05338000000,-81.10140000000,25840,Fayetteville,Fayette,Distressed,562,56444.2,7,5,5,4,2,2,2,2,2,5,1,2,5,5,5,4,1,4,2,2,1,2,4,2,2,3,2,4,3,4,4,4,4,4,5,4,5,2,2,1,1,5,5,3,4,5,5,4,5,5,3,5,3,2,1,1,2,2,5,2,1,4,2,4,2,3,5,4,4,3,3,3,2,2,2,3,2,2,2,4,,,0,3,3,2,4,3,2,3,3,3,5,2,4,2,5,2,2,2,1,1,1,1,5,5,5,5,5,5,5,5,4,5,4
421,37.58957000000,-81.10685000000,25841,Flat Top,Fayette,Distressed,987,96995.3,8,5,1,1,1,1,5,5,1,4,1,5,1,5,3,3,1,3,1,5,2,2,1,4,4,4,3,3,3,1,1,1,1,1,4,1,5,2,3,1,1,1,1,5,5,5,5,5,3,5,5,5,5,2,1,1,2,5,5,2,3,4,4,4,4,2,4,4,4,2,4,4,3,1,1,4,1,1,1,1,,,0,1,1,1,4,2,1,1,1,1,1,1,4,1,5,2,4,4,4,2,5,2,5,5,5,4,4,4,4,2,5,2,3
422,37.61689000000,-81.11475000000,25843,Ghent,Raleigh,At_Risk,904,93978.1,7,4,3,4,2,3,3,4,1,2,1,5,5,1,5,1,5,1,5,1,5,4,4,3,3,5,4,3,4,4,4,3,5,5,5,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,3,5,3,2,2,2,3,4,3,3,4,4,4,3,4,3,3,3,3,5,3,3,1,1,1,1,1,3,1,4,,,0,2,3,1,2,3,2,2,2,3,4,3,3,4,3,1,3,3,4,4,4,3,2,1,1,0,0,0,0,0,0,0,0
423,37.81640625000,-81.23290252690,25843,Ghent,Raleigh,At_Risk,675,69537.1,7,2,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,5,3,3,3,3,1,3,2,3,3,2,2,2,2,2,2,2,2,3,3,3,2,3,5,3,5,3,3,3,5,3,4,5,5,5,3,3,3,3,3,1,3,,,0,3,2,2,3,3,3,3,4,3,2,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
424,37.81640625000,-81.23290252690,25843,Ghent,Raleigh,At_Risk,675,69537.1,7,6,4,2,4,4,2,2,2,5,4,1,2,4,4,4,3,1,2,4,4,2,2,5,4,5,4,2,2,5,5,5,3,4,3,2,1,5,5,4,3,2,2,1,1,1,4,3,1,3,2,5,2,2,1,1,5,3,1,3,3,4,2,3,3,3,2,4,5,1,5,2,3,2,2,1,1,1,1,3,,,0,3,4,3,5,3,2,4,5,4,1,4,1,5,3,1,4,3,5,5,4,4,1,1,1,0,0,0,0,0,0,0,0
425,37.81640625000,-81.23290252690,25844,Glen Daniel,Raleigh,At_Risk,675,69537.1,5,5,3,4,2,2,3,4,3,2,3,2,3,4,3,2,5,3,3,3,2,1,2,4,4,4,4,2,2,4,4,4,2,2,2,1,2,5,4,4,3,4,3,2,4,2,4,4,2,4,3,4,2,2,2,2,3,3,3,2,2,4,2,4,4,3,3,3,4,3,4,4,5,5,4,3,3,4,2,5,,,0,4,4,3,4,4,3,5,5,5,3,3,4,2,4,2,4,3,2,2,2,2,3,4,4,4,4,4,4,4,2,4,3
426,37.86520385740,-81.19680023190,25844,Glen Daniel,Raleigh,At_Risk,722,66465.9,5,3,3,4,2,3,4,3,1,2,2,4,4,2,5,2,0,2,2,5,2,5,5,1,1,5,2,4,4,3,1,3,5,5,5,4,5,3,2,1,1,5,5,3,4,5,3,4,3,5,4,4,3,0,0,0,1,2,5,1,4,5,3,5,4,1,5,5,5,1,3,1,1,3,1,1,1,5,2,5,,,0,3,3,2,4,3,3,4,4,3,3,1,1,2,5,2,4,5,3,4,4,3,4,1,3,5,5,5,5,5,5,5,5
428,38.12005100000,-81.00508500000,25854,Hico,Fayette,Distressed,650,59478.5,3,4,4,2,3,4,2,2,3,5,3,2,3,5,3,2,1,4,3,3,2,2,2,4,4,4,4,2,1,4,4,4,2,2,2,2,2,5,5,3,3,2,2,1,2,2,5,4,1,4,1,5,1,2,2,2,3,4,2,1,0,5,2,4,2,3,2,3,5,0,3,2,3,2,3,2,2,2,1,1,1,1,3,2,3,3,4,4,2,4,5,5,2,4,3,4,2,1,5,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
429,37.97610473630,-81.13970184330,25862,Lansing,Fayette,Distressed,595,59800.2,6,3,2,4,1,1,4,5,1,4,1,4,5,5,5,5,2,5,3,4,2,3,4,2,2,4,2,4,4,4,2,2,2,2,0,2,5,2,2,2,2,4,4,3,5,4,4,4,4,5,3,4,4,0,1,1,2,4,4,2,3,4,4,4,3,2,4,4,4,3,4,3,3,2,1,5,5,1,3,5,,,0,2,3,3,3,3,2,2,4,3,4,2,4,1,5,2,2,2,3,2,1,1,4,5,5,4,4,4,4,4,3,5,3
430,37.73409000000,-81.30022000000,25865,Lester,Raleigh,At_Risk,619,75412.5,5,2,4,4,2,3,3,3,2,1,3,1,1,1,2,1,1,1,1,5,5,4,4,4,4,5,2,3,3,4,1,1,4,3,4,1,1,4,4,4,3,2,1,4,1,4,4,2,2,4,4,4,1,1,2,2,3,1,5,1,1,1,1,4,1,3,4,4,5,1,5,4,2,2,4,2,4,4,1,5,,,0,2,4,3,4,4,2,2,1,4,4,2,4,2,2,2,3,3,2,3,1,1,4,4,4,2,4,4,4,3,4,4,4
431,37.81640625000,-81.23290252690,25866,Lochgelly,Fayette,Distressed,675,69537.1,4,2,3,4,1,1,5,5,1,2,1,5,5,5,5,4,1,3,1,4,3,5,5,1,1,4,1,5,5,2,1,1,2,4,5,4,5,4,1,1,1,5,5,2,5,5,5,5,5,5,4,5,5,0,0,0,4,5,5,1,1,5,4,5,5,1,5,2,2,2,1,2,1,1,1,1,1,1,1,5,,,0,1,4,4,5,5,1,5,5,5,5,1,5,2,5,2,4,4,2,2,1,1,3,4,4,5,4,4,4,5,4,2,4
432,38.06539000000,-80.96843100000,25868,Lookout,Fayette,Distressed,697,65268.9,2,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,1,1,1,5,5,5,5,1,1,5,1,1,1,1,1,1,5,5,5,1,1,5,1,1,1,5,1,1,5,1,5,1,5,5,5,1,5,1,1,1,1,1,5,0,5,5,5,5,5,5,1,5,5,5,5,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,5,3,1,1,1,1,1,5,1,5,5,1,5,5,5,1,5,5,1,1,1,1,1,1,1,1,1,1,1
433,38.06392700000,-80.97449500000,25868,Lookout,Fayette,Distressed,702,64899.8,4,0,4,3,1,4,3,3,3,5,4,5,4,5,4,3,1,5,2,4,5,1,1,4,4,5,5,4,1,5,5,5,1,2,2,1,5,5,5,4,4,3,4,1,5,4,5,5,5,5,4,5,3,2,1,1,5,1,1,1,5,5,1,4,1,1,3,3,5,3,5,4,4,3,1,1,4,4,2,4,1,4,4,3,4,1,5,4,3,5,5,4,2,4,5,5,2,3,5,3,3,4,4,2,3,3,3,3,5,5,5,4,2,1,4
434,37.81640625000,-81.23290252690,25871,Mabscott,Raleigh,At_Risk,675,69537.1,5,2,2,4,2,1,4,4,1,4,1,3,5,4,4,4,1,2,1,5,3,5,5,1,1,4,1,4,5,2,3,3,4,4,5,1,5,2,2,1,1,3,5,4,5,5,5,5,3,5,4,3,3,0,0,1,1,3,5,1,2,5,2,4,3,3,4,4,3,3,3,4,1,1,1,1,1,1,1,3,,,0,2,3,2,2,3,1,3,3,3,4,2,5,2,3,1,5,5,3,4,2,5,1,1,1,0,0,0,0,0,0,0,0
